label_s,idHal_s,idHal_i,idrefId_s
Nathan D. Mcclenaghan,nathan-mcclenaghan,736912,https://www.idref.fr/123599407
M.P. Gigandet B. Normand P. Steyer C. Richard M. Wery,philippe-steyer,21303,https://www.idref.fr/081227272
Catherine Pugeault-Cicchelli,catherine-pugeault,11844,https://www.idref.fr/035507187
M. Chadli,mchadli,8910,https://www.idref.fr/074136720
Eduardo Perez,eduardo-perez,1114337,https://www.idref.fr/231620705
Adrian Fianu,adrian-fianu,934815,https://www.idref.fr/22983325X
Jérémie Guilhot,guilhot,2325,https://www.idref.fr/128549548
Nicolas N. Benguigui,nicolas-benguigui,171732,https://www.idref.fr/07569963X
Encarnacion Raymundo,raymundo,740367,https://www.idref.fr/203954815
F. Guérold,francois-guerold,744433,https://www.idref.fr/035581778
Isabelle Siegler,isabelle-siegler,748397,https://www.idref.fr/16638979X
Philippe Lesnik,philippe-lesnik,772768,https://www.idref.fr/131219391
F. Bénédic,fabien-benedic,748349,https://www.idref.fr/146734262
Loisel,gaelleloisel,7935,https://www.idref.fr/164670467
Agnès Linglart,stephanie-maupetit-mehouas,743225,https://www.idref.fr/159754070
Antoine H P Morice,antoinehpmorice,10230,https://www.idref.fr/120915502
Mouloud Haddak,mohamed-mouloud-haddak,178413,https://www.idref.fr/253131243
Clémence Perrin,clemence-perrin-malterre,8431,https://www.idref.fr/076097242
Pablo de Oliveira Castro Herrero,pablooliveira,11170,https://www.idref.fr/150785445
B. Gohier,benedicte-gohier,753254,https://www.idref.fr/076294870
Valerian Chambon,valerian-chambon,1124370,https://www.idref.fr/150103840
Simón Tamayo,simontamayo-giraldo,14242,https://www.idref.fr/185879780
Francois Colas,jean-francois-colas,742285,https://www.idref.fr/05759872X
Francois Colas,francois-colas,735025,https://www.idref.fr/080300057
Leonardo Pantoni,rodolphe-thiebaut,175125,https://www.idref.fr/071580735
L. Stainier,laurent-fm-stainier,1769,https://www.idref.fr/168726858
M. Vinches,marc-vinches,19621,https://www.idref.fr/034243550
Nicolas Masurier,nmasurier,1086355,https://www.idref.fr/07356902X
S. Sanglier-Cianférani,sarah-cianferani,740820,https://www.idref.fr/070341222
J. Debray,jerome-debray,7492,https://www.idref.fr/152792716
Jean-Pierre Levy,jean-pierre-levy,10931,https://www.idref.fr/050647288
J. Vitte,joana-vitte,754717,https://www.idref.fr/095980806
Xavier Le Person,xavier-le-person,1214746,https://www.idref.fr/055763456
Peter Sinclair,peter-sinclair,178283,https://www.idref.fr/079205852
Nicolas G. Vaillant,nicolas-gerard-vaillant,183329,https://www.idref.fr/084644435
Herve Leleu,herve-leleu,10265,https://www.idref.fr/147096871
Christophe Tavera,christophe-tavera,173215,https://www.idref.fr/031888771
Ingrid C.Infante,ingrid-canero-infante,18133,https://www.idref.fr/193084376
D. Dorchies,david-dorchies,736672,https://www.idref.fr/253122376
Sponem Samuel,sponem,2814,https://www.idref.fr/08818420X
L. Kerkerian-Le-Goff,lydia-kerkerian-le-goff,749504,https://www.idref.fr/083386785
M. Guennou,mael-guennou,749527,https://www.idref.fr/12420452X
V. Couallier,couallier-vincent,12014,https://www.idref.fr/114357420
Isabelle Dusfour,isabelle-dusfour,745756,https://www.idref.fr/087295881
G. Junqua,guillaume-junqua,170437,https://www.idref.fr/067406971
J.P. Steyer,jean-philippe-steyer,743527,https://www.idref.fr/121854787
S. Breurec,sebastien-breurec,177152,https://www.idref.fr/06945535X
